,,,,,,,,,,,,,,,,,,,,,,,
2) Ширина проема (полностью),,,4000,,,,,,,,,,,,,,,,,,,,
3) Высота проема,,,2900,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Зависимость от ширины проема,,4) Системы,Кол-во дверей,Кол-во рельсов,Кол-во боковых заглушек,Кол-во нижних двойных заглушек,Кол-во нижних одинарных заглушек,Кол-во соединителей рельса+рельса,Кол-во соединителей рельса+заглушки,Кол-во ручек ,Щетка для дверей,Ширина двери,Профиль заглушка без щетки (6м),Профиль заглушка с щеткой (6м),Профиль заглушка угловая (6м),,"Механизм для двигающейся двери, доводчик (комплект на 1 дверь)",Механизм соединитеьный с ремнем (комплект на 1 дверь),Дополнительные адаптеры на для соединения ремня (комплект на 1 дверь),Дополнительные нижние ролики для двери (комплект на 1 дверь),Угловая резинка для стыка двух дверей (1м),Профиль для стационарной двери (2м),Механизм для стационарной двери (комплект на 1 дверь)
Если ширина проема от 500мм до 2400мм,Ширина проема от 1615 до 4500,(1)+1C+1C+(1),4,2,2,1,2,2,10,4,4,"1004,25",2,4,2,,1,1,0,1,0,2,2
,Ширина проема от 2145 до 6000,1+2C+2C+1,6,3,2,2,2,4,12,4,8,"675,8333333",2,8,2,,1,1,2,2,0,2,2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Кол-во,Цена,Общая сумма,,,,,5) Стекла,Цена,,,,,,,,,,,
,,,Профиль вертикальный (6м),4,60,240,,,,,Прозрачное,45,,,,,,,,,,,
,,,Профиль заглушка без щетки (6м),1,25,25,,,,,Пепельное,27,,,,,,,,,,,
,,,Профиль заглушка с щеткой (6м),2,25,50,,,,,Йодовое,27,,,,,,,,,,,
,,,Профиль заглушка угловая (6м),1,30,30,,,,,Рифленое,"82,5",,,,,,,,,,,
,,,,,,,,,,,Зеркальное,96,,,,,,,,,,,
,,,Профиль горизонтальный (2м),8,27,216,,,,,Гравированное прозрачное с 2ух сторон,310,,,,,,,,,,,
,,,"Уплотнитель для стекла (2,5м)","12,4936",7,"87,4552",,,,,,,,,,,,,,,,,
,,,Болты для крелений (1шт),32,"0,5",16,,,,,,,,,,,,,,,,,
,,,Ручка (1шт),4,25,100,,,,,,,,,,,,,,,,,
,,,Резина для верхних рельс (1м),16,"0,5",8,,,,,,,6) Виды шотланок,"Разделительный профиль, делящий стекло (6м)","Разделительный профиль, клеющийся на стекло (3м)","Дополнительный уплотнитель для стекла (2,5м)",Дополнительные болты для креплений (1шт),Специальный скотч двухсторонний (33м),,,,,
,,,Щетка для стыка 2х дверей (1м),"46,4","0,5","23,2",,,,,,,Без шотланок,0,0,0,0,0,,,,,
,,,Рельсы верхние 41мм (6м),2,75,150,,,,,,,1шт по горизонтали,4,0,"3,2",32,0,,,,,
,,,Заглушки боковые для рельс 45мм (6м),2,35,70,,,,,,,1шт по вертикали,12,0,"9,6",32,0,,,,,
,,,Заглушки двойные для низа рельс (3м),2,7,14,,,,,,,2шт по горизонтали,8,0,"6,4",64,0,,,,,
,,,Заглушки одинарные для низа рельс (3м),2,5,10,,,,,,,1шт по вертикали и 1шт по горизонтали,16,0,"12,8",64,0,,,,,
,,,Соединитель рельса+рельса,"26,66666667","0,5","13,33333333",,,,,,,1шт по вертикали и 2шт по горизонтали,20,0,16,96,0,,,,,
,,,Соединитель рельса+профиль,"133,3333333","0,5","66,66666667",,,,,"Если выбирается рифленое стекло, то эти позиции не предлагаются",,1шт по вертикали и 3шт по горизонтали,0,48,0,0,"1,454545455",,,,,
,,,Выравниватель для рельсы металлический (1шт),16,"0,5",8,,,,,,,1шт по вертикали и 4шт по горизонтали,0,56,0,0,"1,696969697",,,,,
,,,Выравниватель для рельсы пластмассовый (1шт),32,"0,25",8,,,,,,,1шт по вертикали и 5шт по горизонтали,0,64,0,0,"1,939393939",,,,,
,,,"Механизм для двигающейся двери, доводчик (комплект на 1 дверь)",1,75,75,,,,,,,Очень много разделений,0,146,0,0,"4,424242424",,,,,
,,,Механизм соединитеьный с ремнем (комплект на 1 дверь),1,75,75,,,,,,,,,,,,,,,,,
,,,Дополнительные адаптеры на для соединения ремня (комплект на 1 дверь),0,5,0,,,,,,,,,,,,,,,,,
,,,Угловая резинка для стыка двух дверей (1м),0,"0,2",0,,,,,,,,,,,,,,,,,
,,"Эти данные зависят от ""Виды шотланки""","Разделительный профиль, делящий стекло (1м)",4,10,40,,,,,,,,,,,,,,,,,
,,,"Разделительный профиль, клеющийся на стекло (3м)",0,4,0,,,,,,,,,,,,,,,,,
,,,"Дополнительный уплотнитель для стекла (2,5м)","3,2",7,"22,4",,,,,,,,,,,,,,,,,
,,,Дополнительные болты для креплений (1шт),32,"0,5",16,,,,,,,,,,,,,,,,,
,,,Специальный скотч двухсторонний (33м),0,5,0,,,,,,,,,,,,,,,,,
,,,Сборка/установка,"11,6",80,928,,,,,,,,,,,,,,,,,
,,,Стекло,"11,6",45,522,,,,,,,,,,,,,,,,,
,,,Доп расходы (логистика и т.д.),1,50,50,,,,,,,,,,,,,,,,,
,,,Дополнительные нижние ролики для двери (комплект на 1 дверь),1,10,10,,,,,,,,,,,,,,,,,
,,,Профиль для стационарной двери (2м),4,10,40,,,,,,,,,,,,,,,,,
,,,Механизм для стационарной двери (комплект на 1 дверь),2,35,70,,,,,,,,,,,,,,,,,
,,,Магнит для стыка угла (4шт),1,8,8,,,,,,,,,,,,,,,,,
,,,,,Общая цена,"2992,0552",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,"Нужно, чтобы число округлялось до целого большего числа. Например, число 10,1 округляется до 11",,,,,,,,,,,,,,,,,,,,
,,,"Нужно, чтобы число округлялось до целого числа. Округляется до большего, если число после запятой больше 4, а если меньше, то округляется до меньшего числа. Например, ""100,4"" округляется до ""100"", а если больше, например ""100,41"" то до ""101""",,,,,,,,,,,,,,,,,,,,